Case_ID,HD95_WT,HD95_TC,HD95_ET
BRATS_171,10.04987562112089,6.324555320336759,3.0
BRATS_172,1.4142135623730951,1.4142135623730951,1.0
BRATS_173,4.0,4.0,3.0
BRATS_174,1.0,1.4142135623730951,1.7320508075688772
BRATS_175,2.0,4.58257569495584,2.23606797749979
BRATS_176,2.0,4.0,3.0
BRATS_177,16.583123951777,9.899494936611665,9.797958971132712
BRATS_178,1.0,1.4142135623730951,1.4142135623730951
BRATS_179,2.449489742783178,3.0,3.1622776601683795
BRATS_180,47.01063709417264,1.7320508075688772,1.4142135623730951
BRATS_181,1.4142135623730951,1.4142135623730951,1.4142135623730951
BRATS_182,2.449489742783178,1.4142135623730951,1.0
BRATS_183,1.4142135623730951,1.4142135623730951,1.4142135623730951
BRATS_184,2.449489742783178,1.0,1.0
BRATS_185,2.23606797749979,1.7320508075688772,1.0
BRATS_186,3.0,1.4142135623730951,1.4142135623730951
BRATS_187,2.449489742783178,2.23606797749979,2.23606797749979
BRATS_188,7.810249675906654,2.0,1.4142135623730951
BRATS_189,1.7320508075688772,1.0,1.0
BRATS_190,3.0,3.0,2.449489742783178
BRATS_191,4.123105625617661,4.242640687119285,1.7320508075688772
BRATS_192,1.4142135623730951,1.0,1.0
BRATS_193,32.7566787083184,1.7320508075688772,1.4142135623730951
BRATS_194,2.0,1.0,1.0
