Case_ID,HD95_WT,HD95_TC,HD95_ET
BRATS_002,4.47213595499958,1.4142135623730951,1.0
BRATS_044,6.0,5.385164807134504,5.0
BRATS_020,4.358898943540674,5.916079783099616,1.4142135623730951
BRATS_029,1.4142135623730951,1.0,1.0
BRATS_021,4.58257569495584,1.4142135623730951,2.23606797749979
BRATS_026,2.23606797749979,3.7416573867739413,4.0
BRATS_014,3.0,3.3166247903554,1.4142135623730951
BRATS_006,3.0,2.8284271247461903,1.7320508075688772
BRATS_047,7.3484692283495345,2.23606797749979,1.4142135623730951
BRATS_001,4.58257569495584,2.23606797749979,1.4142135623730951
BRATS_050,2.0,1.4142135623730951,1.4142135623730951
BRATS_025,2.449489742783178,1.0,1.0
BRATS_058,7.615773105863909,10.723805294763608,10.44030650891055
BRATS_017,2.23606797749979,3.1622776601683795,2.0
BRATS_054,2.449489742783178,2.0,1.4142135623730951
BRATS_005,13.92838827718412,11.74734012447073,9.273618495495704
BRATS_049,2.23606797749979,1.0,2.449489742783178
BRATS_048,16.278820596099706,1.4142135623730951,1.4142135623730951
BRATS_056,4.47213595499958,2.449489742783178,2.23606797749979
BRATS_019,4.358898943540674,2.23606797749979,1.4142135623730951
BRATS_055,3.0,1.393502884254365,1.4142135623730951
BRATS_043,8.94427190999916,3.1622776601683795,3.0
BRATS_031,4.123105625617661,2.449489742783178,1.4142135623730951
BRATS_036,2.449489742783178,2.0,1.7320508075688772
BRATS_033,1.4142135623730951,1.0,1.0
BRATS_038,3.0,4.123105625617661,2.0
BRATS_040,2.23606797749979,1.7320508075688772,1.4142135623730951
BRATS_022,1.4142135623730951,2.0,1.4142135623730951
BRATS_032,3.0,2.23606797749979,1.4142135623730951
BRATS_041,1.4142135623730951,4.242640687119285,2.23606797749979
BRATS_037,4.242640687119285,2.23606797749979,1.4142135623730951
BRATS_030,4.123105625617661,13.70761407033791,4.58257569495584
BRATS_042,1.4142135623730951,1.4142135623730951,1.0
BRATS_034,1.7320508075688772,2.449489742783178,1.4142135623730951
BRATS_039,2.449489742783178,1.7320508075688772,1.4142135623730951
BRATS_045,1.7320508075688772,1.4142135623730951,1.4142135623730951
BRATS_053,1.4142135623730951,5.0,1.4142135623730951
BRATS_052,2.0,1.4142135623730951,1.0
BRATS_035,4.123105625617661,4.123105625617661,1.4142135623730951
BRATS_354,1.7320508075688772,2.0,1.0
BRATS_268,3.4641016151377544,3.3166247903554,373.13
BRATS_278,6.0,34.26368339802363,373.13
BRATS_279,7.874007874011811,8.0,373.13
BRATS_280,1.4142135623730951,20.346989949375804,18.552550284764166
BRATS_283,1.4142135623730951,6.4031242374328485,3.0
BRATS_284,5.0990195135927845,8.774964387392123,13.292844035381522
BRATS_285,4.123105625617661,2.8284271247461903,4.58257569495584
BRATS_287,1.0,3.3166247903554,3.0
BRATS_289,3.0,10.44030650891055,373.13
BRATS_291,3.0,9.695359714832659,34.47315410039194
BRATS_292,3.0,3.1622776601683795,9.848857801796104
BRATS_293,7.810249675906654,17.4928556845359,9.126848922374473
BRATS_294,2.23606797749979,7.681145747868608,373.13
BRATS_295,1.7320508075688772,3.605551275463989,14.508607896261694
BRATS_296,1.4142135623730951,8.94427190999916,3.605551275463989
BRATS_297,11.704699910719626,10.770329614269007,0.0
BRATS_299,1.4142135623730951,2.0,3.0
